광역시도,기초지자체,아프리카 국가,아프리카 지자체,교류연도,교류유형,주요내용
경기도,본청,나이지리아,,2006,행정 인적교류,경기도지사 취임식에 나이지리아 대사 참석
경기도,본청,남아프리카공화국,하우텡주,2005,행정 인적교류,경기도_남아공 자매결연 10주년 행사 및 방문
경기도,본청,남아프리카공화국,하우텡주,2003,행정 인적교류,경기도 실무단 남아공 방문
경기도,수원시,모로코,페즈시,2003,협약체결,수원시_모로코 페즈시 간 자매결연 협정 체결
경기도,수원시,모로코,페즈시,2001,행정 인적교류,이무광 부시장 등 수원시 대표단  페즈시 방문 자매결연 체결관련 협의
경기도,수원시,모로코,페즈시,2000,행정 인적교류,모로코 페즈시 바바시장  유네스코 세계성곽도시 수원총회 참석
경기도,본청,남아프리카공화국,하우텡주,1998,경제통상교류,경기도 측  중소기업들과 요하네스버그에서 개최된 남아공 국제박람회 참가
경기도,본청,남아프리카공화국,하우텡주,1998,행정 인적교류,남아공 중견공무원 중앙공무원교육원 연수
경기도,본청,남아프리카공화국,하우텡주,1997,경제통상교류,경기도  남아공 국제무역박람회 참가
경기도,본청,남아프리카공화국,하우텡주,1995,경제통상교류,경기도 측  중소기업들과 요하네스버그에서 개최된 남아공 국제박람회 참가
경기도,본청,남아프리카공화국,하우텡주,1995,협약체결,경기도와 하우텡주(Gauteng Province) 간 자매결연 협정 체결
강원도,화천군,에티오피아,,2022,행정 인적교류,한국전 참전용사 후손 장학금 전달식
강원도,화천군,에티오피아,,2022,행정 인적교류,에티오피아 한국전 참전용사 후손 장학생 선발
강원도,본청,ANOCA(아프리카 국가올림픽위원회 연합),,2022,스포츠교류,2024 강원도_아프리카 국가올림픽위원회 연합 업무협약 체결
강원도,홍천군,가나,,2019,행정 인적교류,가나 유하스대학 국내연수단  홍천군 방문
강원도,춘천시,에티오피아,아디스아바바시,2019,상징사업,춘천시  에티오피아 참전용사회관 보수공사 추진
강원도,춘천시,에티오피아,아디스아바바시,2019,행정 인적교류,에티오피아 하원의원단  춘천시장 내방
강원도,춘천시,에티오피아,아디스아바바시,2019,행정 인적교류,신임 주한에티오피아대사  춘천시장 내방
강원도,본청,레소토,,2018,행정 인적교류,강원도  강원도형 지역개발 활성화 역량강화 국제연수 실시
강원도,본청,마다가스카르,,2018,행정 인적교류,강원도  강원도형 지역개발 활성화 역량강화 국제연수 실시
강원도,본청,에스와티니,,2018,행정 인적교류,강원도  강원도형 지역개발 활성화 역량강화 국제연수 실시
